taxon_name	rpm	taxid	taxonomic_rank	classifier	centrifuge_genome_size	centrifuge_num_reads	centrifuge_abundance	kaiju_percent	kraken2_percentage_fragments_covered	kraken2_num_fragments_covered	reads_count	cami_taxid	cami_rank	cami_taxpath	cami_taxpathsn	cami_percentage
Ungulate tetraparvovirus 3	70062.2	1511916	species	centrifuge	5444	1389.0	0.0				1542					
Parvovirus YX-2010/CHN	45663.1	754189	leaf	centrifuge	5444	851.0	0.0				1005					
Porcine parvovirus 2	2680.7	1126383	species	centrifuge	5426	52.0	0.0				59					
Pseudomonas virus phiKZ	1726.6	169683	species	centrifuge	280334	29.0	0.0				38					
Pseudomonas phage SL2	1317.6	2041345	leaf	centrifuge	279696	20.0	0.0				29					
Parvovirinae	925.9	40119	F1	kraken2					4.93	2288	43					
Rotavirus A	499.8	28875	species	centrifuge	18562	11.0	0.0				11					
Bacillus phage BPS13	227.2	1136731	leaf	centrifuge	158305	0.0	0.0				5					
Bacillus phage BPS10C	227.2	1277886	leaf	centrifuge	159590	0.0	0.0				5					
Porcine endogenous retrovirus E	227.2	168238	leaf	centrifuge	8072	5.0	0.0				5					
Vibrio phage pTD1	227.2	1938577	leaf	centrifuge	239276	5.0	0.0				5					
Prochlorococcus phage P-HM2	181.7	445696	species	centrifuge	183806	3.0	0.0				4					
Escherichia phage PBECO4	136.3	1273738	leaf	centrifuge	348113	3.0	0.0				3					
Phaeocystis globosa virus	136.3	251749	species	centrifuge	459984	3.0	0.0				3					
Gryllus bimaculatus nudivirus	136.3	432587	species	centrifuge	96944	2.0	0.0				3					
Bacillus virus PBS1	90.9	10683	species	centrifuge	252197	1.0	0.0				2					
Klebsiella phage vB_Kpn_IME260	90.9	1912318	leaf	centrifuge	123490	2.0	0.0				2					
Haemophilus phage Aaphi23	90.9	230158	species	centrifuge	43033	2.0	0.0				2					
Cyprinid herpesvirus 1	90.9	317858	species	centrifuge	291144	0.0	0.0				2					
Cafeteria roenbergensis virus BV-PW1	90.9	693272	leaf	centrifuge	617453	2.0	0.0				2					
Plutella xylostella granulovirus	90.9	98383	species	centrifuge	100999	2.0	0.0				2					
Spissistilus festinus reovirus	45.4	1004049	species	centrifuge	25139	1.0	0.0				1					
Paramecium bursaria Chlorella virus 1	45.4	10506	species	centrifuge	330611	1.0	0.0				1					
