file	percent	reads	taxon_id	taxon_name
SRR12875558_se-SRR12875558-kaiju.tsv	1.909909	887	1491	taxonid:1491
SRR12875558_se-SRR12875558-kaiju.tsv	0.712717	331	1747	taxonid:1747
SRR12875558_se-SRR12875558-kaiju.tsv	0.645967	300	136241	taxonid:136241
SRR12875558_se-SRR12875558-kaiju.tsv	0.611515	284	2823518	taxonid:2823518
SRR12875558_se-SRR12875558-kaiju.tsv	0.411266	191	29501	taxonid:29501
SRR12875558_se-SRR12875558-kaiju.tsv	0.273459	127	84378	taxonid:84378
SRR12875558_se-SRR12875558-kaiju.tsv	0.234701	109	2792084	taxonid:2792084
SRR12875558_se-SRR12875558-kaiju.tsv	0.232548	108	1590	taxonid:1590
SRR12875558_se-SRR12875558-kaiju.tsv	0.189484	88	215221	taxonid:215221
SRR12875558_se-SRR12875558-kaiju.tsv	0.155032	72	114885	taxonid:114885
SRR12875558_se-SRR12875558-kaiju.tsv	0.146419	68	33889	taxonid:33889
SRR12875558_se-SRR12875558-kaiju.tsv	0.092589	43	141391	taxonid:141391
SRR12875558_se-SRR12875558-kaiju.tsv	0.081822	38	171632	taxonid:171632
SRR12875558_se-SRR12875558-kaiju.tsv	0.073210	34	29549	taxonid:29549
SRR12875558_se-SRR12875558-kaiju.tsv	0.073210	34	197575	taxonid:197575
SRR12875558_se-SRR12875558-kaiju.tsv	0.068903	32	984991	taxonid:984991
SRR12875558_se-SRR12875558-kaiju.tsv	0.066750	31	1813871	taxonid:1813871
SRR12875558_se-SRR12875558-kaiju.tsv	0.064597	30	2807101	taxonid:2807101
SRR12875558_se-SRR12875558-kaiju.tsv	0.055984	26	57372	taxonid:57372
SRR12875558_se-SRR12875558-kaiju.tsv	0.049524	23	187101	taxonid:187101
SRR12875558_se-SRR12875558-kaiju.tsv	0.049524	23	1727164	taxonid:1727164
SRR12875558_se-SRR12875558-kaiju.tsv	0.040911	19	88058	taxonid:88058
SRR12875558_se-SRR12875558-kaiju.tsv	0.040911	19	885581	taxonid:885581
SRR12875558_se-SRR12875558-kaiju.tsv	0.034452	16	627624	taxonid:627624
SRR12875558_se-SRR12875558-kaiju.tsv	0.032298	15	159	taxonid:159
SRR12875558_se-SRR12875558-kaiju.tsv	0.032298	15	65123	taxonid:65123
SRR12875558_se-SRR12875558-kaiju.tsv	0.032298	15	472834	taxonid:472834
