 75.55	35088	35088	U	0	unclassified
 24.45	11354	1	R	1	root
 19.52	9064	30	R1	131567	  cellular organisms
 10.14	4709	117	D	2	    Bacteria
  9.33	4331	129	D1	1783272	      Terrabacteria group
  7.53	3499	0	P	544448	        Tenericutes
  7.53	3499	3	C	31969	          Mollicutes
  7.52	3493	0	O	2085	            Mycoplasmatales
  7.52	3493	28	F	2092	              Mycoplasmataceae
  7.41	3442	2452	G	2093	                Mycoplasma
  1.08	501	0	S	28227	                  Mycoplasma penetrans
  1.08	501	501	S1	272633	                    Mycoplasma penetrans HF-2
  0.52	241	241	S	2096	                  Mycoplasma gallisepticum
  0.29	135	0	S	171632	                  Mycoplasma ovis
  0.29	135	135	S1	1415773	                    Mycoplasma ovis str. Michigan
  0.19	89	0	S	984991	                  Mycoplasma parvum
  0.19	89	89	S1	1403316	                    Mycoplasma parvum str. Indiana
  0.03	12	0	S	65123	                  Mycoplasma wenyonii
  0.03	12	12	S1	1197325	                    Mycoplasma wenyonii str. Massachusetts
  0.01	3	0	S	29501	                  Mycoplasma haemofelis
  0.01	3	3	S1	941640	                    Mycoplasma haemofelis str. Langford 1
  0.00	2	2	S	57372	                  Mycoplasma suis
  0.00	2	2	S	28903	                  Mycoplasma bovis
  0.00	2	0	S	2100	                  Mycoplasma hyorhinis
  0.00	2	2	S1	872331	                    Mycoplasma hyorhinis HUB-1
  0.00	2	0	G1	656088	                  Mycoplasma mycoides group
  0.00	2	0	S	2102	                    Mycoplasma mycoides
  0.00	2	0	S1	2103	                      Mycoplasma mycoides subsp. mycoides
  0.00	2	0	S2	44101	                        Mycoplasma mycoides subsp. mycoides SC
  0.00	2	2	S3	272632	                          Mycoplasma mycoides subsp. mycoides SC str. PG1
  0.00	1	0	S	2104	                  Mycoplasma pneumoniae
  0.00	1	1	S1	722438	                    Mycoplasma pneumoniae FH
  0.05	23	23	G	2129	                Ureaplasma
  0.00	2	0	O	186328	            Entomoplasmatales
  0.00	2	0	F	33925	              Entomoplasmataceae
  0.00	2	0	G	46238	                Entomoplasma
  0.00	2	2	S	74700	                  Entomoplasma freundtii
  0.00	1	0	O	186329	            Acholeplasmatales
  0.00	1	0	F	2146	              Acholeplasmataceae
  0.00	1	0	G	33926	                Candidatus Phytoplasma
  0.00	1	0	G1	85630	                  16SrX (Apple proliferation group)
  0.00	1	1	S	37692	                    Candidatus Phytoplasma mali
  1.17	543	0	P	201174	        Actinobacteria
  1.17	543	0	C	1760	          Actinobacteria
  1.15	533	0	O	85009	            Propionibacteriales
  1.15	533	0	F	31957	              Propionibacteriaceae
  1.15	533	0	G	1912216	                Cutibacterium
  1.15	533	532	S	1747	                  Cutibacterium acnes
  0.00	1	1	S1	1031709	                    Cutibacterium acnes 6609
  0.01	4	0	O	85011	            Streptomycetales
  0.01	4	0	F	2062	              Streptomycetaceae
  0.01	4	0	G	1883	                Streptomyces
  0.00	2	2	S	47763	                  Streptomyces lydicus
  0.00	1	1	S	164348	                  Streptomyces puniciscabiei
  0.00	1	1	S	1535768	                  Streptomyces lunaelactis
  0.00	2	0	O	85004	            Bifidobacteriales
  0.00	2	0	F	31953	              Bifidobacteriaceae
  0.00	2	0	G	1678	                Bifidobacterium
  0.00	2	0	S	28025	                  Bifidobacterium animalis
  0.00	2	0	S1	302911	                    Bifidobacterium animalis subsp. lactis
  0.00	2	2	S2	1316911	                      Bifidobacterium animalis subsp. lactis KLDS2.0603
  0.00	2	0	O	85007	            Corynebacteriales
  0.00	1	0	F	1762	              Mycobacteriaceae
  0.00	1	0	G	1866885	                Mycolicibacterium
  0.00	1	1	S	1791	                  Mycolicibacterium aurum
  0.00	1	0	F	85025	              Nocardiaceae
  0.00	1	1	G	1827	                Rhodococcus
  0.00	1	0	O	85006	            Micrococcales
  0.00	1	0	F	85023	              Microbacteriaceae
  0.00	1	0	G	33877	                Agromyces
  0.00	1	1	S	2080742	                  Agromyces sp. 30A
  0.00	1	0	O	85010	            Pseudonocardiales
  0.00	1	0	F	2070	              Pseudonocardiaceae
  0.00	1	0	G	674734	                Alloactinosynnema
  0.00	1	1	S	1653480	                  Alloactinosynnema sp. L-07
  0.30	141	4	P	1239	        Firmicutes
  0.17	81	17	C	91061	          Bacilli
  0.11	53	15	O	1385	            Bacillales
  0.03	13	0	F	186817	              Bacillaceae
  0.03	12	2	G	1386	                Bacillus
  0.01	4	0	G1	86661	                  Bacillus cereus group
  0.00	2	2	S	1392	                    Bacillus anthracis
  0.00	1	0	S	1396	                    Bacillus cereus
  0.00	1	1	S1	1217984	                      Bacillus cereus FRI-35
  0.00	1	1	S	64104	                    Bacillus pseudomycoides
  0.01	3	0	G1	653685	                  Bacillus subtilis group
  0.00	2	1	S	1423	                    Bacillus subtilis
  0.00	1	0	S1	96241	                      Bacillus subtilis subsp. spizizenii
  0.00	1	1	S2	655816	                        Bacillus subtilis subsp. spizizenii str. W23
  0.00	1	0	G2	1938374	                    Bacillus amyloliquefaciens group
  0.00	1	1	S	492670	                      Bacillus velezensis
  0.00	2	2	S	1547283	                  Bacillus weihaiensis
  0.00	1	1	S	2049935	                  Bacillus sp. Lzh-5
  0.00	1	0	G	400634	                Lysinibacillus
  0.00	1	1	S	2169540	                  Lysinibacillus sp. 2017
  0.03	12	0	F	186818	              Planococcaceae
  0.02	11	0	G	1372	                Planococcus
  0.02	11	11	S	2058136	                  Planococcus sp. MB-3u-03
  0.00	1	0	G	1569	                Sporosarcina
  0.00	1	1	S	1571	                  Sporosarcina ureae
  0.02	8	0	F	90964	              Staphylococcaceae
  0.02	8	0	G	1279	                Staphylococcus
  0.01	5	0	S	1280	                  Staphylococcus aureus
  0.01	5	5	S1	46170	                    Staphylococcus aureus subsp. aureus
  0.00	2	2	S	985002	                  Staphylococcus argenteus
  0.00	1	1	S	1281	                  Staphylococcus carnosus
  0.01	3	0	F	186822	              Paenibacillaceae
  0.01	3	0	G	44249	                Paenibacillus
  0.00	1	1	S	1406	                  Paenibacillus polymyxa
  0.00	1	1	S	414771	                  Paenibacillus donghaensis
  0.00	1	1	S	169760	                  Paenibacillus stellifer
  0.00	1	0	F	186820	              Listeriaceae
  0.00	1	0	G	1637	                Listeria
  0.00	1	1	S	1639	                  Listeria monocytogenes
  0.00	1	0	O1	539002	              Bacillales incertae sedis
  0.00	1	0	O2	539742	                Bacillales Family XII. Incertae Sedis
  0.00	1	0	G	33986	                  Exiguobacterium
  0.00	1	1	S	360911	                    Exiguobacterium sp. AT1b
  0.02	11	0	O	186826	            Lactobacillales
  0.01	4	0	F	33958	              Lactobacillaceae
  0.01	4	0	G	1253	                Pediococcus
  0.01	4	4	S	51663	                  Pediococcus damnosus
  0.01	3	1	F	1300	              Streptococcaceae
  0.00	2	0	G	1301	                Streptococcus
  0.00	1	0	S	1307	                  Streptococcus suis
