file	percent	reads	taxon_id	taxon_name
SRR12875570_pe-SRR12875570-kaiju.tsv	0.017911	2456	1747	taxonid:1747
SRR12875570_pe-SRR12875570-kaiju.tsv	0.010793	1480	136241	taxonid:136241
SRR12875570_pe-SRR12875570-kaiju.tsv	0.010355	1420	1590	taxonid:1590
SRR12875570_pe-SRR12875570-kaiju.tsv	0.008693	1192	2823518	taxonid:2823518
SRR12875570_pe-SRR12875570-kaiju.tsv	0.006454	885	29501	taxonid:29501
SRR12875570_pe-SRR12875570-kaiju.tsv	0.005768	791	297	taxonid:297
SRR12875570_pe-SRR12875570-kaiju.tsv	0.004186	574	179636	taxonid:179636
SRR12875570_pe-SRR12875570-kaiju.tsv	0.003741	513	470	taxonid:470
SRR12875570_pe-SRR12875570-kaiju.tsv	0.001889	259	1302	taxonid:1302
SRR12875570_pe-SRR12875570-kaiju.tsv	0.001356	186	33889	taxonid:33889
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000970	133	57372	taxonid:57372
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000948	130	216963	taxonid:216963
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000933	128	171632	taxonid:171632
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000802	110	627624	taxonid:627624
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000788	108	65123	taxonid:65123
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000729	100	2792084	taxonid:2792084
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000715	98	141391	taxonid:141391
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000715	98	2666185	taxonid:2666185
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000700	96	911092	taxonid:911092
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000664	91	339	taxonid:339
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000664	91	1006	taxonid:1006
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000620	85	61635	taxonid:61635
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000591	81	502394	taxonid:502394
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000583	80	45498	taxonid:45498
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000569	78	984991	taxonid:984991
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000540	74	291644	taxonid:291644
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000525	72	45668	taxonid:45668
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000510	70	2029983	taxonid:2029983
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000467	64	171695	taxonid:171695
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000459	63	2162713	taxonid:2162713
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000445	61	983544	taxonid:983544
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000430	59	171284	taxonid:171284
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000430	59	1813871	taxonid:1813871
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000423	58	114885	taxonid:114885
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000423	58	2853227	taxonid:2853227
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000387	53	2261	taxonid:2261
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000379	52	2104	taxonid:2104
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000379	52	2562285	taxonid:2562285
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000372	51	1784719	taxonid:1784719
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000357	49	640330	taxonid:640330
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000350	48	2807101	taxonid:2807101
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000335	46	529	taxonid:529
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000328	45	1727164	taxonid:1727164
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000321	44	269673	taxonid:269673
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000321	44	1678728	taxonid:1678728
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000299	41	1598	taxonid:1598
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000299	41	2116	taxonid:2116
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000299	41	861299	taxonid:861299
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000292	40	1241979	taxonid:1241979
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000292	40	1868793	taxonid:1868793
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000284	39	2801918	taxonid:2801918
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000277	38	218144	taxonid:218144
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000277	38	2604941	taxonid:2604941
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000270	37	1474	taxonid:1474
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000263	36	88058	taxonid:88058
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000263	36	2293838	taxonid:2293838
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000255	35	2778902	taxonid:2778902
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000248	34	853	taxonid:853
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000248	34	995	taxonid:995
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000248	34	52022	taxonid:52022
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000248	34	1586287	taxonid:1586287
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000248	34	2109915	taxonid:2109915
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000241	33	1348	taxonid:1348
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000241	33	2725684	taxonid:2725684
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000241	33	2742683	taxonid:2742683
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000226	31	1307839	taxonid:1307839
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000219	30	1642647	taxonid:1642647
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000211	29	198483	taxonid:198483
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000211	29	208479	taxonid:208479
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000211	29	1528099	taxonid:1528099
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000204	28	1076626	taxonid:1076626
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000197	27	1587	taxonid:1587
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000197	27	33989	taxonid:33989
SRR12875570_pe-SRR12875570-kaiju.tsv	0.000197	27	2494375	taxonid:2494375
